region,dealer_code,Sub_Code,dealer_name,dealer_class,AM_name,All-in one target,Total GA,Mobile target,Total Mobile ga,MP Principal GA,MP Shareline GA,HP60 & above GA,HP Below 60 GA,HVP Target_T2,HVP Target_T1,HVP99 above,MNP_count,Broadband target,Total BB GA,Home Fibre GA,WBB GA,Fibre submission,NGBB GA,Contracted 5G WBB,Mobile device sales target,Mobile device sales,Device GA target,Device GA,Outbound Check-IN no. Days,Outbound_Program Target,In-Store Mobile GA,Outbound GA mobile,Outbound GA Broadband
NORTHERN,11111.00003,,RAY ABC  TRADING,MEP,AM1,100,1,80,1,1,1,1,1,30,15,1,1,30,1,1,1,1,1,1,105,1,30,1,1,30,1,1,1
NORTHERN,11112.10009,,EXCLUABC SDN BHD,MEP,AM4,100,2,80,2,2,2,2,2,30,15,2,2,30,2,2,2,2,2,2,105,2,30,2,2,30,2,2,2
NORTHERN,11113.00005,,MET ABC SDN BHD,MEP,AM4,100,3,80,3,3,3,3,3,30,15,3,3,30,3,3,3,3,3,3,105,3,30,3,3,30,3,3,3
NORTHERN,11113.00006,,MET ABC SDN BHD,MEP,AM4,100,4,80,4,4,4,4,4,30,15,4,4,30,4,4,4,4,4,4,105,4,30,4,4,30,4,4,4
NORTHERN,11114.00006,,NOR ABC ENTERPRISE,MEP,AM2,100,5,80,5,5,5,5,5,30,15,5,5,30,5,5,5,5,5,5,105,5,30,5,5,30,5,5,5
NORTHERN,11114.00008,,NOR ABC ENTERPRISE,MEP,AM2,100,6,80,6,6,6,6,6,30,15,6,6,30,6,6,6,6,6,6,105,6,30,6,6,30,6,6,6
NORTHERN,11114.00001,,NOR ABC ENTERPRISE,MEP,AM2,100,7,80,7,7,7,7,7,30,15,7,7,30,7,7,7,7,7,7,105,7,30,7,7,30,7,7,7
NORTHERN,11115.00002,,EA ABC TRAD SDN BHD,MEP,AM3,100,8,80,8,8,8,8,8,30,15,8,8,30,8,8,8,8,8,8,105,8,30,8,8,30,8,8,8
NORTHERN,11115.00007,,EA ABC TRAD SDN BHD,MEP,AM3,100,9,80,9,9,9,9,9,30,15,9,9,30,9,9,9,9,9,9,105,9,30,9,9,30,9,9,9
NORTHERN,11116.00006,,CHA SDN BHD,MEP,AM1,100,10,80,10,10,10,10,10,30,15,10,10,30,10,10,10,10,10,10,105,10,30,10,10,30,10,10,10
NORTHERN,11116.00007,,CHA SDN BHD,MEP,AM1,100,11,80,11,11,11,11,11,30,15,11,11,30,11,11,11,11,11,11,105,11,30,11,11,30,11,11,11
NORTHERN,11116.00009,,CHA SDN BHD,MEP,AM1,100,12,80,12,12,12,12,12,30,15,12,12,30,12,12,12,12,12,12,105,12,30,12,12,30,12,12,12
NORTHERN,11117.00003,,WEE ABC SDN. BHD.,MEP,AM1,100,13,80,13,13,13,13,13,30,15,13,13,30,13,13,13,13,13,13,105,13,30,13,13,30,13,13,13
NORTHERN,11117.00004,,WEE ABC SDN. BHD.,MEP,AM1,100,14,80,14,14,14,14,14,30,15,14,14,30,14,14,14,14,14,14,105,14,30,14,14,30,14,14,14
NORTHERN,11118.00001,,E.T ABC TELE,MEP,AM3,100,15,80,15,15,15,15,15,30,15,15,15,30,15,15,15,15,15,15,105,15,30,15,15,30,15,15,15
NORTHERN,11119.00004,,B ABC TELECOMMUNICATION,MEP,AM3,100,16,80,16,16,16,16,16,30,15,16,16,30,16,16,16,16,16,16,105,16,30,16,16,30,16,16,16
NORTHERN,11120.00002,,MIN ABC(M) SDN. BHD.,MEP,AM3,100,17,80,17,17,17,17,17,30,15,17,17,30,17,17,17,17,17,17,105,17,30,17,17,30,17,17,17
NORTHERN,11121.00005,,E ABC SDN BHD,MEP,AM4,100,18,80,18,18,18,18,18,30,15,18,18,30,18,18,18,18,18,18,105,18,30,18,18,30,18,18,18
NORTHERN,11122.00002,,BB ABC ENTERPRISE,MEP,AM2,100,19,80,19,19,19,19,19,30,15,19,19,30,19,19,19,19,19,19,105,19,30,19,19,30,19,19,19
NORTHERN,11123.00002,,GENT ABC TELEKOMUNIKASI,MEP,AM1,100,20,80,20,20,20,20,20,30,15,20,20,30,20,20,20,20,20,20,105,20,30,20,20,30,20,20,20
NORTHERN,11124.00001,,SUMM ABC SDN BHD,MEP,AM3,100,21,80,21,21,21,21,21,30,15,21,21,30,21,21,21,21,21,21,105,21,30,21,21,30,21,21,21
NORTHERN,11125.00001,,PHON ABC SDN BHD,MEP,AM3,100,22,80,22,22,22,22,22,30,15,22,22,30,22,22,22,22,22,22,105,22,30,22,22,30,22,22,22
NORTHERN,11126.00002,,PHON ABC SDN BHD,MEP,AM3,100,23,80,23,23,23,23,23,30,15,23,23,30,23,23,23,23,23,23,105,23,30,23,23,30,23,23,23
NORTHERN,11127.00001,,JUS ABC MUNICATION,MEP,AM2,100,24,80,24,24,24,24,24,30,15,24,24,30,24,24,24,24,24,24,105,24,30,24,24,30,24,24,24
NORTHERN,11128.00001,,VO ABC ENTERPRISE,MEP,AM2,100,25,80,25,25,25,25,25,30,15,25,25,30,25,25,25,25,25,25,105,25,30,25,25,30,25,25,25
NORTHERN,11129.00002,,LB ABC SDN. BHD.,MEP,AM2,100,26,80,26,26,26,26,26,30,15,26,26,30,26,26,26,26,26,26,105,26,30,26,26,30,26,26,26
NORTHERN,11129.00004,,LB ABC SDN. BHD.,MEP,AM2,100,27,80,27,27,27,27,27,30,15,27,27,30,27,27,27,27,27,27,105,27,30,27,27,30,27,27,27
NORTHERN,11130.00001,,HI ABC (M) SDN. BHD.,MEP,AM4,100,28,80,28,28,28,28,28,30,15,28,28,30,28,28,28,28,28,28,105,28,30,28,28,30,28,28,28
